"","Name","Party","Link","Twitter_Link","Twitter_Type","State","Office"
"1","Steven Rudy","Republican","https://ballotpedia.org/Steven_Rudy","https://www.twitter.com/kyrudy","Official","KY","Representative"
"2","Richard Heath","Republican","https://ballotpedia.org/Richard_Heath","https://www.twitter.com/Richard_HeathKY","Official","KY","Representative"
"3","Randy Bridges","Republican","https://ballotpedia.org/Randy_Bridges","https://www.twitter.com/RepRandyBridges","Official","KY","Representative"
"4","Lynn Bechler","Republican","https://ballotpedia.org/Lynn_Bechler",NA,NA,"KY","Representative"
"5","Mary Imes","Republican","https://ballotpedia.org/Mary_Imes",NA,NA,"KY","Representative"
"6","Chris Freeland","Republican","https://ballotpedia.org/Chris_Freeland",NA,NA,"KY","Representative"
"7","Suzanne Miles","Republican","https://ballotpedia.org/Suzanne_Miles","https://www.twitter.com/MilesForKY","Campaign","KY","Representative"
"8","Walker Thomas","Republican","https://ballotpedia.org/Walker_Thomas","https://www.twitter.com/WalkerThomas_KY","Campaign","KY","Representative"
"9","Myron Dossett","Republican","https://ballotpedia.org/Myron_Dossett",NA,NA,"KY","Representative"
"10","Josh Calloway","Republican","https://ballotpedia.org/Josh_Calloway",NA,NA,"KY","Representative"
"11","Jonathan Dixon","Republican","https://ballotpedia.org/Jonathan_Dixon","https://www.twitter.com/jonatha72920969","Personal","KY","Representative"
"12","Jim Gooch Jr.","Republican","https://ballotpedia.org/Jim_Gooch_Jr.",NA,NA,"KY","Representative"
"13","D.J. Johnson","Republican","https://ballotpedia.org/D.J._Johnson_(Kentucky)",NA,NA,"KY","Representative"
"14","Scott Lewis","Republican","https://ballotpedia.org/Scott_Lewis_(Kentucky)",NA,NA,"KY","Representative"
"15","Melinda Gibbons Prunty","Republican","https://ballotpedia.org/Melinda_Gibbons_Prunty","https://www.twitter.com/MelindaPrunty","Personal","KY","Representative"
"16","Jason Petrie","Republican","https://ballotpedia.org/Jason_Petrie",NA,NA,"KY","Representative"
"17","Steve Sheldon","Republican","https://ballotpedia.org/Steve_Sheldon_(Kentucky)",NA,NA,"KY","Representative"
"18","Samara Heavrin","Republican","https://ballotpedia.org/Samara_Heavrin",NA,NA,"KY","Representative"
"19","Michael Meredith","Republican","https://ballotpedia.org/Michael_Meredith","https://www.twitter.com/Kyrepmeredith","Personal","KY","Representative"
"20","Patti Minter","Democratic","https://ballotpedia.org/Patti_Minter","https://www.twitter.com/pattiminter4ky","Official","KY","Representative"
"21","Bart Rowland","Republican","https://ballotpedia.org/Bart_Rowland","https://www.twitter.com/KYREPROWLAND","Official","KY","Representative"
